ingreso,trabaja,horas,ninos16,ninos18,edad,educ,ciudad,exp,ninosp
1.1765,1,340,0,8,37,12,0,15,No
1.6,1,500,0,0,52,8,1,17,No
1.8762,1,1599,0,0,52,10,0,34,No
4.0437,1,1830,0,0,31,16,1,9,No
9.6354,1,1920,0,0,55,14,1,37,No
8.0409,1,2052,0,0,34,17,1,10,No
4.599,1,2312,0,0,55,14,1,35,No
2.1429,1,196,0,2,39,12,1,6,No
4.4,1,2500,0,3,40,14,0,19,No
3.5354,1,1980,0,4,43,12,1,10,No
2.7174,1,1840,0,0,48,8,1,11,No
6.25,1,320,0,0,47,12,1,15,No
11.933,1,419,0,4,41,12,1,12,No
3.5931,1,1880,0,0,36,8,0,12,No
6.9444,1,72,0,2,46,17,0,14,No
2.9167,1,120,0,0,34,12,1,11,No
3.0769,1,1885,0,3,41,12,1,9,No
3.75,1,240,0,1,51,12,0,24,No
5.7259,1,1729,0,0,33,12,1,12,No
3.6757,1,1850,0,0,52,12,1,13,No
5.1648,1,2033,0,0,58,9,1,29,No
8.2237,1,608,2,4,34,10,1,11,Si
4.3365,1,1153,0,1,31,12,1,13,No
4.9819,1,2208,0,1,48,12,1,19,No
0.3571,1,252,0,2,32,12,0,2,No
2.9674,1,337,0,0,49,17,1,24,No
1,1,90,2,2,32,15,1,9,Si
2.5554,1,1174,0,0,58,12,1,6,No
0.8602,1,372,0,0,50,6,1,22,No
1,1,30,0,0,60,14,0,30,No
2.9261,1,1800,0,1,50,12,1,10,No
3.5461,1,282,0,0,56,14,1,6,No
1.6264,1,720,0,0,51,9,0,29,No
8.3333,1,1440,0,1,54,17,1,29,No
3.0952,1,2100,0,0,59,13,1,36,No
2.7,1,1000,0,2,46,9,1,19,No
5.2521,1,952,0,1,46,15,1,8,No
1.4154,1,1413,1,3,39,12,0,13,Si
4.7986,1,2100,0,2,44,12,1,16,No
1.6667,1,120,2,0,33,12,1,11,Si
1.1217,1,3000,1,2,33,12,1,15,Si
0.5,1,1000,0,2,48,12,1,6,No
0.7143,1,336,0,4,31,12,0,13,No
2.7961,1,1216,0,1,45,12,0,22,No
4.8583,1,988,0,1,45,12,1,24,No
1.7435,1,2581,0,2,32,13,1,2,No
2.4631,1,2030,0,0,47,12,0,6,No
2.4213,1,413,0,2,34,13,0,2,No
1.5345,1,782,0,1,37,12,1,2,No
2.8818,1,1388,0,1,36,12,0,14,No
2.4069,1,1450,1,2,47,12,1,9,Si
5.2326,1,1720,0,1,48,16,1,11,No
3.75,1,800,0,2,42,12,0,9,No
1.3889,1,360,0,3,33,13,1,6,No
4,1,2000,0,0,46,11,0,19,No
3.2313,1,1176,0,3,47,12,0,26,No
3.4014,1,2058,0,1,44,12,1,19,No
1.3333,1,900,0,4,36,12,1,3,No
9.3023,1,215,2,0,31,17,1,7,Si
4.5,1,2000,0,0,55,14,1,28,No
4.6235,1,757,0,1,45,16,1,13,No
3.9557,1,1264,0,0,47,17,1,9,No
5.814,1,2064,0,3,46,12,1,15,No
0.5,1,1280,0,0,49,11,1,20,No
4.0816,1,1715,0,0,49,12,1,29,No
6,1,2000,0,2,45,12,1,9,No
3.6667,1,12,1,3,38,17,1,1,Si
3.8613,1,1528,0,0,47,10,1,8,No
2.7629,1,561,0,3,54,13,1,19,No
2.931,1,2058,0,0,41,11,0,23,No
4.3884,1,1823,0,2,43,12,0,3,No
5.4167,1,1680,1,1,31,16,0,13,Si
9.8611,1,1440,0,0,47,17,1,8,No
0.1616,1,4950,0,2,35,12,0,17,No
0.3826,1,1176,0,3,45,16,1,4,No
3.6364,1,1100,1,0,33,12,0,15,Si
2.3747,1,1516,0,1,54,16,0,11,No
4.6667,1,900,0,4,35,8,0,7,No
1.8519,1,1080,1,2,31,12,0,0,Si
5.2,1,480,0,0,55,12,0,0,No
3.2986,1,288,0,2,34,12,1,10,No
8.5333,1,1875,0,1,38,13,1,8,No
2.0635,1,630,0,1,45,11,1,2,No
2.5641,1,234,0,1,47,12,1,4,No
2.1875,1,1600,0,2,39,12,1,6,No
6.25,1,960,1,0,36,14,1,18,Si
3.3333,1,120,1,2,33,12,1,3,Si
4.4444,1,2025,0,0,50,12,1,22,No
6.6335,1,1809,0,0,58,12,1,33,No
8.4224,1,3087,0,0,49,17,1,28,No
4.3956,1,910,0,2,41,14,1,23,No
2.4457,1,1840,0,1,51,12,0,27,No
1.2245,1,784,0,0,53,9,1,11,No
1.625,1,400,1,2,36,12,1,6,Si
3,1,1000,0,2,46,12,1,11,No
4.7269,1,1904,0,2,36,12,1,14,No
1.1293,1,1771,0,1,53,14,1,17,No
7.4024,1,1486,0,3,40,16,1,17,No
4.4595,1,740,0,2,42,17,0,14,No
2.4725,1,1820,1,1,33,15,1,11,Si
1.8824,1,1275,0,3,43,12,1,7,No
4,1,450,1,0,31,16,1,8,Si
8.19,1,1221,0,0,47,17,1,6,No
7.0968,1,1550,0,0,54,17,1,8,No
1.6667,1,180,1,3,33,12,0,4,Si
3.445,1,2090,0,0,43,16,1,25,No
4.2347,1,1960,0,1,46,13,0,24,No
2.7778,1,1440,0,3,35,12,1,11,No
1.8892,1,794,0,3,37,11,1,19,No
5.0352,1,993,0,2,37,16,1,9,No
1.25,1,160,0,3,34,14,1,19,No
2.8571,1,105,1,0,43,16,0,14,Si
4.1167,1,1200,0,0,46,12,1,22,No
1.7778,1,450,0,3,35,9,1,6,No
13.554,1,996,0,0,46,17,1,23,No
4.5627,1,1052,0,0,46,14,1,15,No
2.1277,1,1128,0,2,43,12,1,6,No
2.9891,1,1840,0,0,30,12,0,11,No
2.5654,1,1910,0,2,41,11,0,2,No
5.6122,1,980,0,1,54,12,1,22,No
2.8054,1,2317,0,1,31,12,1,10,No
1.607,1,1089,0,0,44,10,1,14,No
2.25,1,800,0,1,32,12,1,12,No
2.0325,1,1230,0,0,47,5,1,9,No
5.532,1,1158,0,1,46,17,0,13,No
1.5845,1,2272,0,0,37,11,0,18,No
3.7879,1,528,0,2,51,12,0,8,No
3,1,1000,0,1,49,12,1,11,No
8.6538,1,520,0,4,36,14,1,9,No
4.2105,1,760,0,1,39,11,1,9,No
4.6875,1,1920,0,2,48,12,1,14,No
4.0984,1,1220,0,2,38,14,1,9,No
25,1,200,0,2,40,12,1,2,No
2.6331,1,2480,1,5,39,10,0,12,Si
6,1,2750,0,0,37,16,1,15,No
5.4126,1,2014,0,1,49,13,1,11,No
0.6642,1,1355,0,3,33,12,0,7,No
1.25,1,80,0,0,30,12,1,9,No
2.2754,1,1670,0,0,54,12,0,19,No
3.4615,1,520,0,4,39,11,0,11,No
4.1667,1,288,0,3,43,12,1,8,No
4.4687,1,2014,0,3,31,9,1,13,No
1.75,1,800,0,3,33,13,1,4,No
3.6694,1,1984,0,3,40,12,1,7,No
6.5826,1,1823,0,1,36,12,0,19,No
2.6,1,1500,0,0,51,12,1,14,No
4.8651,1,2261,0,1,44,13,1,14,No
5.787,1,1728,0,3,42,16,1,3,No
4.5408,1,1960,0,1,40,12,1,9,No
9.5057,1,1578,1,1,34,16,1,7,Si
10.638,1,1316,0,0,30,17,1,7,No
1.1111,1,1530,0,0,54,12,0,14,No
4.0541,1,2220,0,0,51,12,0,29,No
2.6871,1,1336,0,2,44,9,0,19,No
2.9762,1,1008,0,1,43,12,1,14,No
3.1728,1,1944,0,1,34,12,0,16,No
3.55,1,2000,0,0,45,13,1,10,No
17.907,1,258,0,0,39,12,0,12,No
3.4174,1,1785,0,0,50,12,1,24,No
3.3333,1,480,0,0,52,12,0,6,No
3.886,1,772,0,2,41,12,1,9,No
2.3111,1,900,0,0,59,10,0,14,No
1.7108,1,1428,0,0,52,12,0,26,No
2.1143,1,210,0,0,46,16,0,7,No
9.9331,1,239,1,5,41,12,1,4,Si
3.0277,1,1878,0,2,33,11,0,15,No
1.8605,1,215,0,0,45,12,1,23,No
0.1282,1,2340,1,2,36,10,0,1,Si
6.6327,1,1960,0,1,48,12,1,29,No
5.6391,1,532,0,1,47,12,1,9,No
1.599,1,394,0,0,45,12,0,6,No
2.6667,1,675,0,2,37,12,0,11,No
7.9208,1,1515,0,4,46,16,1,17,No
5.3398,1,1030,0,3,43,17,1,6,No
4,1,1250,0,2,42,12,1,7,No
6.0449,1,1158,1,2,34,17,1,2,Si
6.25,1,112,0,0,52,12,1,24,No
2.9762,1,336,0,3,37,12,0,4,No
4.2339,1,1984,0,1,37,12,0,11,No
3.4916,1,716,0,0,52,8,0,25,No
4.9645,1,1410,1,0,30,12,0,11,Si
2.7692,1,1300,0,1,31,13,1,2,No
3.6585,1,1640,0,1,38,12,0,19,No
5.3935,1,1202,0,3,43,12,1,7,No
0.6564,1,489,0,1,49,8,1,2,No
4.7688,1,2076,0,0,55,12,1,20,No
8.5551,1,526,0,2,38,17,1,10,No
10.459,1,1721,0,0,52,17,1,19,No
2.6375,1,1327,0,0,48,12,1,17,No
6.8493,1,584,0,2,32,13,1,12,No
5.0872,1,1376,0,1,32,12,1,11,No
0.9615,1,1040,0,2,38,12,1,6,No
4.3066,1,548,0,3,46,12,1,10,No
7.0667,1,15,0,3,40,12,0,4,No
2.5253,1,1980,0,4,31,9,1,2,No
7.8947,1,1520,0,1,43,10,1,13,No
4.1489,1,1880,0,0,51,12,0,21,No
8.1746,1,1260,1,0,30,16,1,9,Si
9.5971,1,1092,0,0,52,13,1,4,No
2.0164,1,1587,1,5,30,8,0,2,Si
7.6218,1,156,0,0,51,16,1,19,No
3.1975,1,1939,0,2,31,13,1,4,No
1.6,1,1250,0,4,34,12,1,9,No
4.0984,1,610,0,0,49,11,1,14,No
1.4815,1,270,1,3,35,13,1,6,Si
3.6364,1,660,1,0,53,12,1,24,Si
1,1,1000,0,3,32,12,0,1,No
2.6042,1,1920,0,3,38,10,1,13,No
1.75,1,200,0,0,54,12,1,3,No
4.8,1,1500,0,1,47,17,1,10,No
5.53,1,868,0,1,45,15,1,16,No
4.0984,1,2318,0,1,47,16,1,9,No
1.25,1,2000,0,0,59,10,0,19,No
1.6667,1,60,0,1,32,11,1,4,No
3.7901,1,1715,0,1,45,12,1,10,No
2.3636,1,550,0,4,40,12,1,5,No
10.204,1,1960,0,2,47,14,1,7,No
6.8182,1,44,1,2,36,16,0,3,Si
7.2146,1,1920,0,0,56,14,0,38,No
2.4484,1,2540,0,1,41,8,0,16,No
1.1987,1,156,0,3,48,7,0,13,No
1.641,1,780,1,2,36,12,0,1,Si
1.7821,1,3120,0,0,41,12,0,7,No
2.9412,1,2040,0,0,41,14,1,15,No
4.9689,1,1610,0,3,36,12,1,10,No
1.8605,1,215,0,3,37,12,0,2,No
8.0357,1,1120,0,0,38,12,1,19,No
3.9716,1,846,0,2,43,14,1,25,No
3.0416,1,3225,0,0,54,16,1,25,No
2.907,1,1376,0,1,38,12,1,7,No
3.0612,1,980,1,0,30,12,1,15,Si
4.8966,1,1838,0,0,49,12,1,11,No
4.0161,1,1494,0,1,45,13,1,25,No
5.5556,1,450,0,0,51,13,1,19,No
1.2227,1,1976,0,0,34,10,1,4,No
2.6839,1,2012,0,2,34,12,1,14,No
2.6738,1,561,0,1,41,12,1,19,No
9.3294,1,1715,0,1,49,12,1,18,No
3.1381,1,1912,0,0,32,12,1,14,No
0.5426,1,3686,0,0,32,14,1,11,No
8.6111,1,1080,0,2,32,17,0,4,No
3.6687,1,1799,0,0,47,10,1,29,No
2.3185,1,1984,0,1,39,9,0,21,No
2.882,1,1839,0,0,49,12,1,24,No
3.1666,1,1579,0,3,37,12,1,19,No
3.6458,1,96,0,0,59,16,1,31,No
6.25,1,1920,0,0,50,12,1,28,No
10.249,1,1688,0,1,32,17,1,15,No
3.2096,1,1589,0,0,46,12,0,27,No
7.6522,1,345,0,2,43,17,0,13,No
1.9724,1,1521,0,3,37,11,0,4,No
4.698,1,1490,0,2,32,16,1,10,No
2.1234,1,989,0,1,39,11,1,8,No
2.3333,1,600,0,2,34,13,0,4,No
2.3896,1,2646,0,1,39,11,1,18,No
1.2564,1,2149,0,3,45,8,1,3,No
1.0938,1,320,0,0,50,11,1,11,No
3.75,1,1600,0,1,40,12,1,8,No
3.3072,1,2419,0,1,30,10,1,10,No
5.1352,1,2005,0,0,57,17,1,33,No
6.6327,1,1960,0,1,39,12,1,19,No
4.5645,1,2147,0,0,53,12,1,35,No
11.848,1,1207,0,1,48,17,1,21,No
3.75,1,2000,0,1,46,14,0,7,No
4.3651,1,1260,0,0,47,12,0,18,No
3.9333,1,90,0,1,43,12,0,4,No
3.3333,1,1800,0,0,47,12,1,12,No
3.3159,1,573,0,1,47,12,0,16,No
3.5616,1,1825,0,0,47,12,1,14,No
1.6,1,75,0,0,46,12,1,3,No
2.2255,1,1348,0,4,34,9,0,1,No
4.7872,1,1880,0,0,48,10,0,27,No
5.8065,1,1240,0,1,30,12,1,12,No
2.3585,1,848,0,1,51,12,0,6,No
2,1,150,0,5,52,12,1,9,No
1.9,1,2000,0,2,37,12,0,2,No
5.123,1,1952,0,2,32,12,0,6,No
5.4945,1,1456,0,2,36,17,1,9,No
6.3218,1,1740,0,2,35,12,1,16,No
7.1429,1,1400,0,0,45,17,0,22,No
2.375,1,2000,0,0,56,12,0,26,No
2.5429,1,1750,0,2,40,10,0,11,No
2.1798,1,1101,1,2,45,12,1,11,Si
2.6,1,2000,0,2,32,12,0,15,No
3.7294,1,1877,0,0,45,12,0,13,No
4.375,1,160,0,2,40,12,1,6,No
4.4433,1,1886,0,1,38,12,1,20,No
4.2877,1,1446,0,4,49,12,1,17,No
1.6667,1,1500,0,1,47,16,1,8,No
3.2558,1,860,0,0,52,13,1,13,No
5.4113,1,1848,0,1,34,13,1,15,No
2.205,1,1678,0,2,44,12,0,14,No
4.0625,1,160,0,3,36,16,0,14,No
0.6482,1,108,0,0,50,17,1,6,No
5.3826,1,1738,0,0,45,12,1,24,No
0.1709,1,1170,0,2,44,14,1,10,No
23.467,1,15,0,2,57,12,1,2,No
9.5785,1,2088,0,0,35,17,1,9,No
3.6948,1,2490,0,0,46,12,1,23,No
2.2222,1,135,2,1,30,14,1,12,Si
1.749,1,1944,0,3,42,12,0,8,No
1.1594,1,690,0,1,34,12,1,16,No
6.9901,1,608,0,2,45,17,1,10,No
3.9683,1,63,1,2,35,16,1,7,Si
21.429,1,154,0,0,40,16,1,19,No
0.4762,1,420,0,1,32,12,1,2,No
2.1505,1,651,0,0,54,9,1,9,No
1.8578,1,675,0,3,38,12,0,14,No
4.3295,1,1663,0,3,43,12,1,9,No
8.9286,1,1680,0,0,54,16,1,16,No
2.7778,1,180,0,3,39,14,1,7,No
2.6565,1,1581,0,1,37,12,1,6,No
2.5,1,1200,0,2,46,12,1,22,No
18.267,1,450,0,0,56,11,0,9,No
0.819,1,547,0,3,41,12,0,9,No
2,1,300,0,1,45,16,1,14,No
15.385,1,975,0,1,44,17,1,17,No
6.4775,1,1621,0,1,50,17,0,12,No
8.3333,1,300,0,5,37,14,0,13,No
4.5503,1,1868,0,1,44,12,0,8,No
2.4958,1,1803,0,2,32,14,1,10,No
4.4797,1,2143,1,1,34,12,0,16,Si
2.2324,1,1080,0,2,32,10,0,1,No
2.071,1,1352,0,3,37,12,0,6,No
1.676,1,537,0,1,44,13,1,4,No
3.4091,1,352,0,2,34,16,0,8,No
2.5,1,200,1,3,33,12,1,4,Si
3.9609,1,2045,0,3,43,7,1,15,No
6.2275,1,1253,0,2,35,16,0,7,No
3.9286,1,1960,0,1,43,14,0,14,No
2.9,1,2000,0,0,34,12,0,16,No
4.0816,1,1960,0,3,36,10,0,15,No
2.85,1,2000,0,2,41,12,0,23,No
7.0153,1,1568,0,0,41,16,0,19,No
2.9388,1,1225,0,3,35,10,0,4,No
1.9231,1,780,1,3,32,12,1,12,Si
6.875,1,480,0,0,30,14,1,12,No
3.9002,1,1923,0,0,43,12,1,25,No
2,1,2000,0,0,54,6,0,14,No
4.9763,1,2110,0,2,35,15,0,14,No
1.2019,1,1664,0,0,50,12,0,11,No
22.5,1,48,1,1,34,17,1,7,Si
6.8677,1,1791,0,0,52,14,1,18,No
3.5613,1,1404,0,3,35,13,1,4,No
1.9792,1,1920,0,0,55,6,0,37,No
5.3713,1,2141,0,0,35,16,0,13,No
1.7442,1,1720,0,1,49,14,1,14,No
5.0948,1,3533,2,2,38,15,1,17,Si
2.5,1,2000,0,2,42,14,1,5,No
3.825,1,800,0,1,48,8,0,2,No
1,1,3000,0,0,51,14,1,0,No
3.0717,1,293,0,2,43,12,1,3,No
1.7163,1,1872,0,1,43,12,1,21,No
4.0209,1,2058,0,1,38,12,1,20,No
5.4585,1,1832,0,1,44,12,1,19,No
25,1,120,1,3,36,12,1,4,Si
2.3897,1,1632,0,0,38,12,0,19,No
3.2134,1,778,0,0,47,8,1,11,No
3.377,1,1984,0,2,34,12,0,14,No
1.7778,1,225,1,2,40,17,1,8,Si
3.1633,1,1960,0,1,31,12,0,13,No
2.7027,1,444,0,0,46,12,1,24,No
1.6927,1,384,0,3,36,14,1,1,No
0.2137,1,1170,1,2,39,13,1,1,Si
6.7669,1,1330,0,2,36,17,0,3,No
1.7407,1,1350,0,4,37,8,0,4,No
2.5,1,480,0,4,39,12,0,21,No
4.4859,1,1984,1,3,36,11,0,10,Si
2.572,1,1944,0,2,49,12,1,13,No
3.46,1,50,1,1,45,12,1,9,Si
4.7826,1,460,2,0,32,17,0,14,Si
2.3118,1,680,0,5,36,10,0,2,No
5.3061,1,2450,0,1,40,12,1,21,No
5.8675,1,2144,0,2,43,13,1,22,No
3.4091,1,1760,0,1,33,12,1,14,No
4.0816,1,490,0,1,30,12,1,7,No
0,0,0,0,1,49,12,1,2,No
0,0,0,2,0,30,16,1,5,Si
0,0,0,1,0,30,12,0,12,Si
0,0,0,0,4,41,12,1,1,No
0,0,0,0,1,45,12,1,12,No
0,0,0,0,5,43,12,1,4,No
0,0,0,0,1,42,13,1,9,No
0,0,0,0,0,60,12,1,9,No
0,0,0,0,0,57,12,1,6,No
0,0,0,0,2,38,10,0,5,No
0,0,0,0,0,56,12,1,5,No
0,0,0,0,3,32,12,0,8,No
0,0,0,0,1,49,7,1,2,No
0,0,0,0,0,55,12,0,6,No
0,0,0,1,1,36,9,0,0,Si
0,0,0,0,3,44,12,0,3,No
0,0,0,0,1,44,10,1,7,No
0,0,0,1,2,35,14,1,3,Si
0,0,0,2,3,44,14,0,10,Si
0,0,0,0,1,45,12,1,3,No
0,0,0,1,0,34,12,1,2,Si
0,0,0,2,0,30,17,1,12,Si
0,0,0,0,1,39,8,0,15,No
0,0,0,0,2,36,12,0,5,No
0,0,0,0,2,38,17,1,4,No
0,0,0,0,0,53,12,1,10,No
0,0,0,0,2,36,12,0,1,No
0,0,0,1,1,32,12,1,8,Si
0,0,0,0,3,51,9,1,20,No
0,0,0,0,0,38,11,1,4,No
0,0,0,2,0,33,12,1,7,Si
0,0,0,0,0,54,12,1,10,No
0,0,0,0,3,38,9,0,3,No
0,0,0,2,2,30,11,0,5,Si
0,0,0,2,3,34,12,0,10,Si
0,0,0,0,1,34,9,0,0,No
0,0,0,0,2,50,12,1,3,No
0,0,0,2,0,30,17,0,10,Si
0,0,0,0,2,38,12,1,2,No
0,0,0,0,0,54,14,1,10,No
0,0,0,1,2,30,12,1,4,Si
0,0,0,0,0,55,12,1,0,No
0,0,0,0,1,51,10,0,10,No
0,0,0,0,1,44,12,1,5,No
0,0,0,0,0,53,12,0,0,No
0,0,0,0,2,42,10,0,0,No
0,0,0,0,2,38,12,0,19,No
0,0,0,1,3,38,13,1,2,Si
0,0,0,1,4,41,12,1,12,Si
0,0,0,0,3,35,8,1,5,No
0,0,0,1,2,33,12,1,5,Si
0,0,0,0,0,48,13,0,5,No
0,0,0,0,0,47,12,1,10,No
0,0,0,0,5,34,12,1,0,No
0,0,0,2,1,33,13,1,4,Si
0,0,0,3,1,31,13,0,3,Si
0,0,0,0,0,58,8,1,2,No
0,0,0,0,0,49,12,0,1,No
0,0,0,0,1,55,8,1,0,No
0,0,0,0,0,44,14,1,1,No
0,0,0,0,0,44,9,1,1,No
0,0,0,0,3,36,16,1,6,No
0,0,0,0,3,38,12,1,12,No
0,0,0,0,3,37,16,1,6,No
0,0,0,0,0,47,12,1,9,No
0,0,0,0,3,47,12,1,14,No
0,0,0,1,1,32,12,1,13,Si
0,0,0,1,2,43,12,0,8,Si
0,0,0,1,4,42,11,0,0,Si
0,0,0,0,0,56,12,0,1,No
0,0,0,0,5,38,13,1,3,No
0,0,0,0,2,52,12,1,13,No
0,0,0,0,0,50,12,1,3,No
0,0,0,0,0,33,16,1,8,No
0,0,0,0,2,44,16,1,8,No
0,0,0,0,1,41,12,0,18,No
0,0,0,0,1,45,12,1,2,No
0,0,0,0,0,53,14,0,3,No
0,0,0,0,0,53,14,1,5,No
0,0,0,0,1,42,12,1,2,No
0,0,0,2,0,32,13,1,10,Si
0,0,0,0,0,56,12,1,30,No
0,0,0,1,3,37,11,1,1,Si
0,0,0,1,2,40,12,1,5,Si
0,0,0,0,3,54,15,1,8,No
0,0,0,0,0,53,7,0,0,No
0,0,0,0,1,48,12,1,4,No
0,0,0,1,2,36,12,1,2,Si
0,0,0,0,0,57,12,1,30,No
0,0,0,0,0,51,12,1,25,No
0,0,0,0,4,33,13,0,3,No
0,0,0,0,0,52,12,1,20,No
0,0,0,0,0,56,10,1,20,No
0,0,0,1,2,36,12,1,0,Si
0,0,0,1,0,36,14,0,15,Si
0,0,0,0,1,46,12,1,10,No
0,0,0,0,3,31,10,0,4,No
0,0,0,0,0,52,11,1,3,No
0,0,0,0,2,46,12,1,10,No
0,0,0,2,0,35,12,1,9,Si
0,0,0,0,0,59,12,0,7,No
0,0,0,0,1,36,8,0,12,No
0,0,0,1,3,51,7,0,0,Si
0,0,0,1,0,31,16,1,16,Si
0,0,0,0,2,31,14,1,4,No
0,0,0,1,1,32,12,1,7,Si
0,0,0,1,2,35,16,1,7,Si
0,0,0,0,3,40,12,1,14,No
0,0,0,1,2,33,10,0,2,Si
0,0,0,0,0,54,7,1,20,No
0,0,0,1,1,36,12,1,5,Si
0,0,0,0,1,50,10,0,10,No
0,0,0,0,0,54,8,0,20,No
0,0,0,0,1,48,11,1,10,No
0,0,0,0,4,41,15,0,8,No
0,0,0,0,4,50,12,1,11,No
0,0,0,0,2,46,12,1,3,No
0,0,0,0,1,42,13,0,6,No
0,0,0,1,2,31,9,0,4,Si
0,0,0,0,0,53,12,0,4,No
0,0,0,0,1,51,12,1,9,No
0,0,0,0,1,47,12,1,10,No
0,0,0,0,1,50,12,1,3,No
0,0,0,0,1,37,6,0,2,No
0,0,0,2,2,30,12,0,2,Si
0,0,0,0,0,49,12,1,0,No
0,0,0,0,2,52,12,1,8,No
0,0,0,0,2,47,12,1,6,No
0,0,0,0,0,49,12,1,15,No
0,0,0,0,4,44,12,1,15,No
0,0,0,0,0,53,8,1,9,No
0,0,0,1,0,30,12,0,8,Si
0,0,0,0,2,54,12,1,18,No
0,0,0,1,1,47,7,1,3,Si
0,0,0,0,0,56,15,1,10,No
0,0,0,0,1,49,12,0,6,No
0,0,0,0,0,48,6,1,20,No
0,0,0,0,1,49,12,0,8,No
0,0,0,0,1,56,12,0,3,No
0,0,0,0,0,46,12,1,4,No
0,0,0,0,2,45,12,1,13,No
0,0,0,0,2,32,12,1,4,No
0,0,0,1,1,43,12,1,17,Si
0,0,0,1,1,34,12,1,4,Si
0,0,0,1,1,30,12,0,0,Si
0,0,0,2,0,38,17,1,15,Si
0,0,0,1,1,33,16,0,11,Si
0,0,0,0,0,52,12,1,23,No
0,0,0,0,3,43,11,1,1,No
0,0,0,1,1,33,12,0,5,Si
0,0,0,0,0,45,10,0,1,No
0,0,0,2,1,36,10,1,5,Si
0,0,0,1,1,34,12,1,3,Si
0,0,0,0,2,37,14,0,3,No
0,0,0,0,1,46,10,0,19,No
0,0,0,0,0,47,12,1,20,No
0,0,0,2,1,31,16,1,5,Si
0,0,0,0,0,57,5,0,0,No
0,0,0,1,1,30,12,1,3,Si
0,0,0,0,0,30,12,1,3,No
0,0,0,0,3,44,12,1,7,No
0,0,0,0,0,53,13,1,7,No
0,0,0,0,0,51,8,1,1,No
0,0,0,1,3,39,12,1,13,Si
0,0,0,0,0,52,8,0,0,No
0,0,0,0,4,46,8,1,0,No
0,0,0,0,5,47,12,0,12,No
0,0,0,0,2,52,8,1,0,No
0,0,0,0,2,45,12,1,5,No
0,0,0,0,0,60,11,1,45,No
0,0,0,0,2,41,13,0,10,No
0,0,0,0,3,39,8,1,2,No
0,0,0,0,1,49,12,0,3,No
0,0,0,1,1,32,15,1,1,Si
0,0,0,1,3,33,12,1,5,Si
0,0,0,0,4,36,10,0,10,No
0,0,0,3,3,37,13,0,4,Si
0,0,0,1,2,30,12,0,7,Si
0,0,0,1,1,44,11,1,9,Si
0,0,0,0,1,48,12,1,5,No
0,0,0,0,4,40,11,1,4,No
0,0,0,0,0,47,13,1,11,No
0,0,0,0,2,36,12,1,9,No
0,0,0,0,2,40,11,1,4,No
0,0,0,0,1,46,12,1,2,No
0,0,0,0,0,52,12,0,23,No
0,0,0,0,1,44,12,0,3,No
0,0,0,0,1,45,10,1,15,No
0,0,0,2,1,30,7,0,8,Si
0,0,0,1,3,40,12,1,3,Si
0,0,0,0,1,43,12,0,25,No
